Nombre;Precio;Costo_envio_flex;Costo_envio_colecta;Utilidad_total;Rentabilidad
Removedor Calculos Dental UltrasonicoVoltaje : 110DG-S-28;28000;;1000;6616;24%
Secador De Cabello Keratin Protect 3000w 2003Color : Negro | Voltaje : 110V/220VVMX-AD-18;18000;;1000;5460;30%
Lampara De Escritorio Recargable Decorativa Rgb TouchcontrolColor de la estructura : Colores | Color de la pantalla : Colores | Voltaje : 110VIND-S-18;18000;;1000;5560;31%
Licuadora Osterizer® Max Con Vaso De Vidrio De 1,75 L BlstpbColor : Gris | Voltaje : 110VOS-E-600;600000;;1000;29325;5%
Manguera Agua Expandible 15 Mts - Unidad a $22900 VMX-AD-12;12000;;1000;4594;38%
Cepillo Dental Limpiador De Sarro Calculo Dental ElectrónicoVoltaje : 127VVG-AD-23;23000;;1000;7725;34%
Tendedero De Piso Estante Plegable 2 Niveles Secado Ropa MaxColor : ColoresIMH-S-28;25000;;1000;6525,26;26%
Plantilla Gel Ergonomica Profesional Comodidas Talla 38 - 42Tamaño de la plantilla : 38 - 42GTCH-E-8;16000;;1000;1093,12;7%
Mancuernas Pesas Barra Recta Ejercicio Kit Ajustables 20kgColor : SEGUN DISPONIBILIDADVMX-AD-60;60000;;1000;22676;38%
Cepillo Dental Limpiador De Sarro Calculo Dental ElectrónicoVoltaje : 127VVG-AD-23;20000;;1000;8603,69;43%
Manguera Agua Expandible Magic Hose Con Pistola 30 Mt LavadoColor : SEGUN DISPONIBILIDADGT-AD-24;16000;;1000;11430;71%
Máquina Quita Horquilla PortátilColor : SEGUN DISPONIBILIDADIPEGA-AD-60;47000;;1000;21468;46%
Mini Compresor De Aire Inflador Forma De Llantas PortátilColor : COLORES | Fase eléctrica : Monofásica | Frecuencia : 1 | Voltaje : 110VELH-S-16;16000;;1000;5959.35;37%
Lampara Solar 4 Bombillos Led De Emergencia Futbol 2029 FocoColor : Colores | Voltaje : 110VIND-S-16;30000;;1000;7504.42;25%
Máquina Quita Horquilla PortátilColor : SEGUN DISPONIBILIDADIPEGA-AD-47;47000;;1000;13068;28%
Máquina Quita Horquilla PortátilColor : SEGUN DISPONIBILIDADIPEGA-AD-47;50000;;1000;10068;20%
Dispensador Eléctrico Usb Recargable Bomba De Agua 4w UsbColor : SEGUN DISPONIBILIDADVMX-AD-7;8000;;1000;854;11%
Manguera Agua Expandible 15 Mts - Unidad a $22900 VMX-AD-12;22000;;1000;11155.87;51%
Producto Generico - House Of Marley Redemption Anc: Auricul.Color : Negro | Color de la luz : BlancoICL-E-85;85000;;1000;47131.4;55%
Docking Hub Tipo C 5 En 1 Adaptador Con EthernetColor : GrisSTCK-45-M;45000;;1000;10830.39;24%
Multitoma Corriente Torre 4 Niveles 16 Tomas 2500w X 3 UsbColor : COLORES | Voltaje : 127VDTR-S-47;46000;;1000;7555;16%
Máquina Quita Horquilla PortátilColor : Según disponibilidadIPEGA-AD-47;50000;;1000;7548;15%
Pastillero Triturador Partidor Pastillas Medicamentos Divide FAKA-AD-7;7000;;1000;13979.94;200%
Tapete De Baile Xtreme, Directo A Tv, Y Pc Usb+ Juego CI-M-55;55000;;1000;11241.93;20%
Gimnasio Didactico Juego Para Bebe Tapete Piano Musical ROMAN-AD-60;55000;;1000;11559;21%
Máquina Automática De Yogur De 1 Litro, Herramienta De BricoColor : SEGUN DISPONIBILIDAD | Voltaje : 110/220VMX-AD-20;18000;;1000;6015;33%
Máquina Quita Horquilla PortátilColor : Según disponibilidadIPEGA-AD-47;50000;;1000;14895.75;30%
Papa Bolinha Profesional Ropa Portátil Recargable AColor : SEGUN DISPONIBILIDADVMX-AD-9;12000;;1000;9015;75%
Reflector Lampara Led Portátil Solar Exterior RecargableColor de la carcasa : Colores | Color de la luz : Colores | Voltaje : 110VIND-S-35;31000;;1000;12942;42%
Cámara P V380, Monitor Solar Para Exteriores, 4g, Para Uso DColor : SEGUN DISPONIBILIDADCI-AD-220;440000;;1000;81690;19%
Organizador De Maquillaje Giratorio De 360 Grados, Estuche D IMH-S-20;40000;;1000;19937.99;50%
Candado Moto Alarma Freno De Disco + Candado Manilar Seguro VMX-AD-13;13000;;1000;2599;20%
Dispensador Automatico De Agua Para Botellon Recargable Econ Color Blanco/negro VMX-S-7;9000;;1000;101.65;1%
Lapiz Acupuntura 4 En 1 Masajeador Electrico VLZ-S-17;16000;;1000;5839;36%
Dispensador Automatico De Agua Para Botellon Recargable Econ Color Blanco/negro VMX-S-7;9000;7300;1000;3228;36%
Lapiz Acupuntura 4 En 1 Masajeador Electrico VLZ-S-17;16000;;1000;5839;36%
Mini Dron E88 New Rc 4k Hd Barato Con Doble Cámara [u] [u]Color : SEGUN DISPONIBILIDADMARCELO-AD-140;140000;7300;1000;15680;11%
Encrespador Eléctrico PestañasColor : ColoresDG-S-10;8000;;1000;4776;60%
Dispensador Automatico De Agua Para Botellon Recargable Econ Color Blanco/negro VMX-S-7;9000;7300;1000;2755.24;31%
Manguera Expandible Magic Hose 30 Metros + Pistola Color Verde GT-S-24;18000;;1000;12096;67%
Mesa Laptop Portátil Computador Tablet Cama DesayunoColor : RosaVTV-E-35;35000;7300;1000;5095.13;15%
Dispensador Automatico De Agua Para Botellon Recargable Econ Color Blanco/negro VMX-S-7;9000;;1000;628;7%
Dispensador Automatico De Agua Para Botellon Recargable Econ Color Blanco/negro VMX-S-7;9000;;1000;628;7%
Zapatera Closet De 9 Niveles Armable Color Negro SEBASTIAN-AD-40;80000;;1000;23160;29%
Manguera Agua Expandible 15 Mts - Unidad a $22900 VMX-AD-12;12000;;1000;4594;38%
Olla Para Derretir Chocolate Juego De Fondue EléctricaColor : Naranja claroDTRNK-36-F;40000;7300;1000;5904,5;15%
Destapa Cañerías De Bomba Manual Con Presión Para Desagües IND-S-20;20000;;1000;3559;18%
Audífono Motorola Moto Buds 085 Tws Negro Luz Na ICL-E-145;145000;7300;1000;22326;15%
Aire Acondicionado Portátil Enfriador Personal Usb ArcticColor : Blanco | Voltaje : 110V/220VTS-27-F;28000;7300;1000;6030;22%
Molino Eléctrico Para Maíz Carne 2500w 6 En 1 Con Embutidor RD-120F;115000;7300;1000;16008,81;14%
Lapicero Esfero Bolígrafo Espía De Lujo Hd 1920x1080 P Para Vídeo Fotos Y Audios CI-AD-25;25000;;1000;6132;25%
Bolso Impermeable Ocean Pack 5 LitrosColor : ColoresIND-S-15;15000;;1000;6799;45%
Mini Lampara Led-uv De Clip - Press On - Clip Uv LamparaColor : Negro | Voltaje : 6WDTRNK-14-F;14000;;1000;3525;25%
Maquina De Obleas Y Conos Moliax MVM-90-F;90000;;1000;5802,5;6%
Grifo Con Sensor Inteligente Dispositivo Ahorro De AguaAcabado : Brillante | Color : PlateadoBUG-85-F;85000;7300;1000;10261,92;12%
Licuadora Sokany Industrial Potente 2.5l 9 VelocidadesColor : Negro/Rojo | Voltaje : 110VDSR-E-200;200000;;1000;39999,91;20%
Base Refrigerante Portátil 4 Ventiladores 5 Niveles GamerColor : NegroDRMTCH-45F;45000;7300;1000;4423,84;10%
Humidificador Difusor De Aromas Estilo ChimeneaColor : COLORES | Voltaje : 110VZKS-33;66000;;1000;57071;86%
Molino Triturador Eléctrico 2 En 1 Grande Con Licuadora RD-43-F;43000;;1000;4900;11%
Molino Triturador Eléctrico 2 En 1 Grande Con Licuadora RD-43-F;43000;;1000;3542,02;8%
Molino Eléctrico Para Maíz Carne 2500w 6 En 1 Con Embutidor RD-120F;115000;7300;1000;16008,81;14%
Camara Espia Video Grabadora Con Audio Gancho PercheroColor : NegroCM-35-J;35000;7300;1000;6847,77;20%
Palanca Levanta Muebles | De Uso Fácil | 4 Bases Deslizantes LOC-10;20000;;1000;3814;19%
Afeitadora Eléctrica Portátil Mini-shave Recargable Por UsbColor : Plateado | Voltaje : 110VRD-9-F;8000;;1000;2531,88;32%
Espejo Retrovisor Con Camara Táctil Dual 1080p Fullhd M1 Pro CI-AD-120;120000;;1000;19323;16%
Molino Eléctrico Para Maíz Carne 2500w 6 En 1 Con Embutidor RD-120F;115000;;1000;12833,81;11%
Destapa Cañerías De Bomba Manual Con Presión Para Desagües IND-S-20;20000;;1000;2749,3;14%
Correa Portabebes Cargador Para Bebe CanguroColor : Rosa | Nombre del diseño : plano | Talla : unicaZKS-18;18000;7300;1000;4215;23%
Cabina Sonivox Recargable Micrófono Bluetooth Vs-sp1455 400wColor : Negro | Voltaje : 110V/220VPRCH-160;160000;7300;1000;46629,91;29%
Bolso Impermeable Ocean Pack 5 LitrosColor : ColoresIND-S-15;15000;7300;1000;9399;63%
Pesa Gramera Cocina Analoga Mecanica 1000grsColor : RojoZKSO-8-F;9000;7300;1000;3174;35%
Cámara Espia Boligrafo Esfero Con Cámara Full Hd 1080pColor : NegroCM-25;23000;;1000;4612;20%
Balde Plegable 10ltsen SiliconaColor : ColoresFAK-18-F;18000;7300;1000;9918,36;55%
Correa Portabebes Cargador Para Bebe CanguroColor : Gris | Nombre del diseño : plano | Talla : UNICAZKS-18;18000;7300;1000;6815;38%
Palanca Levanta Muebles | De Uso Fácil | 4 Bases Deslizantes LOC-10;10000;;1000;1407;14%
Perchero Doble Portatil Organizador Y Zapatero 180 Cm Yx9112Color : COLORESELH-S-50;500000;;1000;217590;44%
Organizador Cosmetiquera Bolso Maquillaje Neceser Viaje YanuColor : RosaDG-14;14000;7300;1000;6854,32;49%
Grifo Con Sensor Inteligente Dispositivo Ahorro De AguaAcabado : Brillante | Color : PlateadoBUG-85-F;85000;;1000;9905;12%
Lámpara Led Panel Solar Y Sensor De Movimiento Tipo CámaraColor : Blanco | Voltaje : 110VDG-20;20000;;1000;2614;13%
Bolso Impermeable Ocean Pack 5 LitrosColor : ColoresIND-S-15;15000;;1000;6799;45%
Máquina Patillera Vgr Recargable Color Plateado 110v IRB-E-30;30000;;1000;2690;9%
Guante Masajeador Con Balines Relajante Corporal Derma TerapColor : COLORES | Voltaje : 0ZKSO-4.5-F;4500;7300;1000;6060;135%
Mini Licuadora Portatil Recargable Tipo Botella 350 Ml RosaColor : COLORES | Voltaje : 1ELH-S-18;18000;7300;1000;5254,47;29%
Tapete Extra Grande Plegable Para Bebé 200x180 Cm Doble Faz ROMAN-AD-85;45000;7300;1000;28191,74;63%
Palanca Levanta Muebles | De Uso Fácil | 4 Bases Deslizantes LOC-10;10000;7300;1000;5148.27;51%
Encrespador Eléctrico PestañasColor : ColoresDG-S-10;10000;7300;1000;5376;54%
Molinillo De Café Eléctrico Especias Pulverizador DomésticoColor : Plateado | Voltaje : 0MVM-25-F;25000;;1000;4171.29;17%
Lavador De Vasos Tazas Copas De Lavaplatos Automático Lavado VLZ-11-F;11000;;1000;3495.2;32%
Cepillo Exfoliante Para Cuerpo - Unidad a $18900 DG-10;100000;7300;1000;37342.54;37%
Cepillo Exfoliante Para Cuerpo - Unidad a $18900 DG-10;10000;7300;1000;4853.19;49%
Tijeras Profesionales Costura Con Guia Láser Corte RectoColor : NegroZKSO-9-F;18000;7300;1000;7631.58;42%
Mini Proyector Led Video Beam Yg300 Hdmi Usb Av 600 LumenesColor : Amarillo | Voltaje : 110VRC-AD-78;85000;7300;1000;14182.21;17%
Palanca Levanta Muebles | De Uso Fácil | 4 Bases Deslizantes LOC-10;10000;7300;1000;5093.24;51%
Olla Para Derretir Chocolate Juego De Fondue EléctricaColor : Naranja claroDTRNK-36-F;40000;7300;1000;6482.76;16%
Soporte North Bayou Nbc3-t De Pared Para Tv/monitor De 40 A 65 Negro IND-S-25;25000;;1000;9194;37%
Mini Lampara Led-uv De Clip - Press On - Clip Uv LamparaColor : Negro | Voltaje : 6WDTRNK-14-F;14000;;1000;3900;28%
Almohada Ergonómica Relajante Para Cuello Tipo NubeColor : COLORESFAK-25-F;50000;;1000;5000;10%
Espejo Retrovisor Auxiliar Punto Ciego Carro FAK-5-F;5000;7300;1000;3850;77%
Interruptor Inteligente De Luz Wifi Doble Alexa Google TactiColor : BlancoCM-45;45000;7300;1000;11100;25%
